JOB N;Submit Time;Wait Time;Run Time;Number of Allocated Processors;Average CPU Time Used;Used Memory;Requested Number of Processors;Requested Time;Requested Memory;Status;User ID;Group ID;Executable (Application) Number;Queue Number; Partition Number;Preceding Job Number;Think Time from Preceding Job;Dia de Semana;Dia;Mês;Ano;Horas;Minutos;Segundos
1;0;392395;19025;64;19025;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Qua;27;Dez;1995;10;53;57
2;172211;562446;43328;128;43234;-1;-1;-1;-1;1;4;-1;-1;25;2;-1;-1;Qui;28;Dez;1995;9;44;8
3;251072;526923;34361;128;34327;-1;-1;-1;-1;1;12;-1;-1;25;2;-1;-1;Sex;29;Dez;1995;7;38;29
4;253225;559170;37372;128;37323;-1;-1;-1;-1;1;12;-1;-1;25;2;-1;-1;Sex;29;Dez;1995;8;14;22
5;253392;596397;35202;128;35091;-1;-1;-1;-1;1;12;-1;-1;25;2;-1;-1;Sex;29;Dez;1995;8;17;9
6;256867;154564;22746;64;22712;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Sex;29;Dez;1995;9;15;4
7;306389;86382;24562;1;-1;-1;-1;-1;-1;1;6;-1;-1;30;2;-1;-1;Sab;30;Dez;1995;23;0;26
8;325830;66571;6858;16;6858;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Sab;30;Dez;1995;4;24;27
9;335032;57373;8219;64;8219;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Sab;30;Dez;1995;7;57;49
10;335042;57730;29203;64;29203;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Sab;30;Dez;1995;7;57;59
11;335050;65582;28881;64;28862;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Sab;30;Dez;1995;7;58;7
12;339439;52965;3554;32;3554;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Sab;30;Dez;1995;8;11;16
13;352740;39658;6835;16;6835;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;11;52;57
14;382934;51263;43334;64;43269;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;16;11
15;382971;9817;12694;32;12694;-1;-1;-1;-1;1;4;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;20;16;48
16;383006;38984;3635;64;3609;-1;-1;-1;-1;1;4;-1;-1;22;2;-1;-1;Dom;31;Dez;1995;20;17;23
17;383062;94484;43333;64;42818;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;18;19
18;383088;137801;132;64;107.77;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;18;45
19;383107;137922;43333;64;43238;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Dom;31;Dez;1995;20;19;4
20;385817;6578;2368;30;2368;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;21;4;14
21;392390;-1;3040;32;3040;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;23;53;47
22;392776;86399;31071;1;-1;-1;-1;-1;-1;1;6;-1;-1;30;2;-1;-1;Dom;31;Dez;1995;23;0;13
23;394761;8;8866;30;8851;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;23;33;18
24;394914;4;43335;32;42682;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;23;35;51
25;394928;1042;30630;32;30551;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;23;36;5
26;395433;0;589;1;586.80;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;23;44;30
27;397570;0;422;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;0;20;7
28;397992;0;4274;32;4272;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;0;27;9
29;399229;7;30317;16;30284;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;0;47;46
30;399255;7;30958;16;30932;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;0;48;12
31;402270;0;527;1;525.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;1;38;27
32;403632;9;11010;30;10997;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;2;1;9
33;403899;0;423;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;2;5;36
34;404322;0;3257;32;3256;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;2;12;39
51;407579;0;522;1;522.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;3;6;56
52;409242;0;427;1;424.80;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;3;34;39
53;409670;0;2813;32;2813;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;3;41;47
54;412485;0;549;1;550.80;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;4;28;42
55;414162;0;433;1;432.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;5;56;39
56;414595;0;2640;32;2638;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;5;3;52
57;414647;12;8805;30;8782;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;5;4;44
58;417236;0;529;1;529.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;5;47;53
59;423458;28;11092;30;11070;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Dom;31;Dez;1995;7;31;35
60;424574;18;5527;1;5202;-1;-1;-1;-1;1;5;-1;-1;30;2;-1;-1;Dom;31;Dez;1995;7;50;11
61;426458;0;422;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;8;21;35
62;426557;15;25993;32;25947;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;8;23;14
63;426880;0;2921;32;2919;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;8;28;37
64;426926;28238;14102;128;14078;-1;-1;-1;-1;1;2;-1;-1;24;2;-1;-1;Dom;31;Dez;1995;8;29;23
65;427006;117393;31281;128;31267;-1;-1;-1;-1;1;2;-1;-1;24;2;-1;-1;Dom;31;Dez;1995;8;30;43
66;427017;148687;24820;128;24795;-1;-1;-1;-1;1;2;-1;-1;24;2;-1;-1;Dom;31;Dez;1995;8;30;54
67;427139;7;27998;64;27980;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Dom;31;Dez;1995;8;32;56
68;427631;1907;4845;64;4825;-1;-1;-1;-1;1;2;-1;-1;13;2;-1;-1;Dom;31;Dez;1995;8;41;8
69;427661;6752;6317;64;6301;-1;-1;-1;-1;1;3;-1;-1;22;2;-1;-1;Dom;31;Dez;1995;8;41;38
70;427813;172717;31528;128;31515;-1;-1;-1;-1;1;2;-1;-1;24;2;-1;-1;Dom;31;Dez;1995;8;44;10
71;429546;13;29865;16;29834;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;9;13;3
72;429802;0;555;1;554.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;9;17;19
73;430214;11;31058;16;31030;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Dom;31;Dez;1995;9;24;11
74;431707;0;433;1;432.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Dom;31;Dez;1995;9;49;4
75;432141;0;2430;32;2429;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;1;Jan;1996;10;56;18
76;434572;0;526;1;525.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;10;36;49
77;434574;21;8670;30;8639;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;10;36;51
78;435361;2913;43405;64;42830;-1;-1;-1;-1;1;4;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;10;49;58
79;436389;0;420;1;417.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;11;7;6
80;436810;0;2522;32;2520;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;11;14;7
81;439333;0;544;1;543.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;12;56;10
82;440328;124056;43330;64;42912;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Seg;2;Jan;1996;12;12;45
83;441027;166695;33;64;15.58;-1;-1;-1;-1;1;4;-1;-1;23;2;-1;-1;Seg;2;Jan;1996;12;24;24
84;441259;0;412;1;410.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;12;28;16
85;441673;0;2686;32;2686;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;12;35;10
86;443250;40;9009;30;8972;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;13;1;27
87;444361;0;544;1;543.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;13;19;58
88;452288;37;9176;30;9149;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;15;32;5
89;453694;0;424;1;421.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;16;55;31
90;454118;0;2760;32;2759;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;16;2;35
91;454714;11;13166;32;13137;-1;-1;-1;-1;1;2;-1;-1;20;2;-1;-1;Seg;2;Jan;1996;16;12;31
92;455969;13325;24802;64;24783;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;16;33;26
93;456007;13286;28876;64;28858;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;16;34;4
94;456016;25690;28118;64;28105;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;16;34;13
95;456027;38084;25167;64;25109;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;16;34;24
96;456042;42145;24206;64;24190;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;16;34;39
97;456055;53866;34462;64;34439;-1;-1;-1;-1;1;2;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;16;34;52
98;456879;0;555;1;554.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;16;48;36
99;458900;0;411;1;410.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;17;22;17
100;459312;0;3509;32;3508;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;17;29;9
101;459398;59889;5463;64;5450;-1;-1;-1;-1;1;3;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;17;30;35
102;459419;13;30491;16;30464;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Seg;2;Jan;1996;17;30;56
103;460991;171249;24061;128;24047;-1;-1;-1;-1;1;2;-1;-1;24;2;-1;-1;Seg;2;Jan;1996;18;57;8
104;461275;16;31293;16;31264;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Seg;2;Jan;1996;18;1;52
105;461496;21;11164;30;11140;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;18;5;33
106;462823;0;539;1;536.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;18;27;40
107;472204;0;417;1;414.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;21;4;1
108;472622;0;2544;32;2543;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;21;10;59
109;472674;34;8999;30;8975;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;21;11;51
110;475166;0;526;1;522.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;22;53;23
111;477228;0;413;1;414.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;22;27;45
112;477642;0;2363;32;2363;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;22;34;39
113;479186;86397;18570;1;-1;-1;-1;-1;-1;1;6;-1;-1;30;2;-1;-1;Seg;2;Jan;1996;23;0;23
114;480007;0;555;1;554.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;23;14;4
115;480509;0;120;16;120.15;-1;-1;-1;-1;1;7;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;23;22;26
116;480809;0;216;16;214.65;-1;-1;-1;-1;1;7;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;23;27;26
117;481702;29;8508;30;8486;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;23;42;19
118;483430;16;11161;16;11144;-1;-1;-1;-1;1;7;-1;-1;11;2;-1;-1;Seg;2;Jan;1996;0;11;7
119;489659;0;489;1;489.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;2;54;56
120;489915;16;31396;16;31376;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Seg;2;Jan;1996;2;59;12
121;490148;0;2691;32;2690;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;2;3;5
122;490232;33;11181;30;11156;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;2;4;29
123;492575;15;31800;16;31773;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Seg;2;Jan;1996;2;43;32
124;492842;0;563;1;561.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Seg;2;Jan;1996;2;47;59
141;501439;24;8786;30;8757;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;5;11;16
142;504947;5324;36873;1;36860;-1;-1;-1;-1;1;5;-1;-1;30;2;-1;-1;Seg;2;Jan;1996;6;9;44
143;509400;10;157;4;71.10;-1;-1;-1;-1;1;8;-1;-1;2;2;-1;-1;Seg;2;Jan;1996;7;23;57
144;509430;13;45;8;33.30;-1;-1;-1;-1;1;8;-1;-1;3;2;-1;-1;Seg;2;Jan;1996;7;24;27
145;509456;15;63;16;40.73;-1;-1;-1;-1;1;8;-1;-1;5;2;-1;-1;Seg;2;Jan;1996;7;24;53
146;509481;72;64;32;44.66;-1;-1;-1;-1;1;8;-1;-1;7;2;-1;-1;Seg;2;Jan;1996;7;25;18
147;509504;336;66;64;48.60;-1;-1;-1;-1;1;8;-1;-1;9;2;-1;-1;Seg;2;Jan;1996;7;25;41
148;509535;18601;169;128;152.55;-1;-1;-1;-1;1;8;-1;-1;15;2;-1;-1;Seg;2;Jan;1996;7;26;12
149;509560;152135;242;256;177.23;-1;-1;-1;-1;1;8;-1;-1;10;2;-1;-1;Seg;2;Jan;1996;7;26;37
150;509874;12528;43387;64;43218;-1;-1;-1;-1;1;4;-1;-1;22;2;-1;-1;Seg;2;Jan;1996;7;31;51
151;510234;39;8722;30;8708;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Seg;2;Jan;1996;7;37;51
152;517871;6;728;4;350.10;-1;-1;-1;-1;1;8;-1;-1;2;2;-1;-1;Seg;2;Jan;1996;9;45;8
153;517889;7;132;8;121.95;-1;-1;-1;-1;1;8;-1;-1;3;2;-1;-1;Seg;2;Jan;1996;9;45;26
154;517909;6;129;16;116.55;-1;-1;-1;-1;1;8;-1;-1;5;2;-1;-1;Seg;2;Jan;1996;9;45;46
155;517924;129;137;32;126.22;-1;-1;-1;-1;1;8;-1;-1;7;2;-1;-1;Seg;2;Jan;1996;9;46;1
156;517942;1060;213;64;140.51;-1;-1;-1;-1;1;8;-1;-1;9;2;-1;-1;Seg;2;Jan;1996;9;46;19
157;518559;9754;9154;128;8677;-1;-1;-1;-1;1;9;-1;-1;15;2;-1;-1;Ter;3;Jan;1996;10;56;36
158;518755;0;651;1;651.60;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;10;59;52
159;518991;231;8904;30;8886;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;10;3;48
160;521323;11;40119;16;40085;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;10;42;40
161;521359;0;533;1;532.80;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;10;43;16
162;521924;0;2;1;-1;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;10;52;41
163;522016;0;166;1;165.60;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;54;13
164;522223;0;71;2;73.80;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;57;40
165;522443;0;315;2;315.00;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;1;20
166;523052;0;3;1;3.60;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;11;29
167;523139;0;3;1;-1;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;12;56
168;523150;0;354;1;352.80;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;13;7
169;523530;0;182;2;181.80;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;19;27
170;523734;0;49;16;49.05;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;22;51
171;524326;0;69;16;68.85;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;32;43
172;524385;9;31932;16;31889;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;11;33;42
173;524725;0;451;1;450.00;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;39;22
174;525063;12479;10171;32;10144;-1;-1;-1;-1;1;10;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;11;45;0
175;525380;0;61;16;60.98;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;11;50;17
176;525960;0;60;16;60.08;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;12;59;57
177;526526;0;61;16;60.30;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;12;9;23
178;526613;0;2;1;-1;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;12;10;50
179;526649;0;8;4;6.30;-1;-1;-1;-1;1;8;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;12;11;26
180;527841;0;140;1;140.40;-1;-1;-1;-1;1;5;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;12;31;18
181;528120;19615;8857;30;8832;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;12;35;57
182;528372;9174;19221;16;19166;-1;-1;-1;-1;1;7;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;12;40;9
183;530432;0;428;1;428.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;13;14;29
184;530862;0;3964;16;3962;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;13;21;39
185;533325;15;180;8;142.65;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;2;42
186;533334;208;191;8;163.80;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;2;51
187;533346;417;188;8;162.45;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;3;3
188;533362;610;184;8;149.85;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;3;19
189;533380;793;222;8;187.65;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;3;37
190;533393;1021;171;8;146.70;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;3;50
191;533409;1191;191;8;165.15;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;4;6
192;533426;1389;213;8;185.40;-1;-1;-1;-1;1;4;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;14;4;23
193;534828;0;727;1;727.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;14;27;45
194;537318;162;45;128;28.15;-1;-1;-1;-1;1;9;-1;-1;15;2;-1;-1;Ter;3;Jan;1996;15;9;15
195;538074;0;244;16;244.12;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;15;21;51
196;538264;0;430;1;428.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;15;25;1
197;538553;0;179;16;180.00;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;15;29;50
198;538696;0;3821;16;3821;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;15;32;13
199;539777;0;166;16;167.62;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;15;50;14
200;539951;0;18;16;18.00;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;53;8
201;541695;0;13;16;11.92;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;22;12
202;541719;0;11;16;10.57;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;22;36
203;542000;0;10;16;9.90;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;27;17
204;542205;0;8;16;7.88;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;30;42
205;542451;0;9;16;8.10;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;34;48
206;542524;0;593;1;594.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;36;1
207;542728;0;20;16;18.00;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;39;25
208;543530;0;18;16;17.77;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;16;52;47
209;544333;0;12;16;11.92;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;17;6;10
210;544523;0;92;16;91.80;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;17;9;20
211;545766;0;101;16;101.03;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;17;30;3
212;546227;0;93;16;94.27;-1;-1;-1;-1;1;9;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;17;37;44
213;553657;0;411;1;410.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;19;41;34
214;554068;0;3832;16;3831;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;19;48;25
215;556314;16;41657;16;41639;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;20;25;51
216;556586;29;8823;30;8796;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;20;30;23
217;557902;0;648;1;644.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;20;52;19
218;560069;0;484;1;486.00;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;21;28;26
219;560554;0;3732;16;3730;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;21;36;31
220;561446;13;31416;16;31389;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;21;51;23
221;564288;0;582;1;579.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;22;38;45
222;565430;22;9078;30;9059;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;23;57;47
223;565593;86379;7449;1;-1;-1;-1;-1;-1;1;6;-1;-1;30;2;-1;-1;Ter;3;Jan;1996;23;0;30
224;569940;14;22241;16;22217;-1;-1;-1;-1;1;7;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;0;12;57
225;573841;0;481;1;482.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;1;17;58
226;574323;0;19120;16;19118;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;1;26;0
227;574524;31;8942;30;8901;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;1;29;21
244;583484;16;9521;30;9491;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;4;58;41
245;592867;12;40727;16;40707;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;6;35;4
246;593012;14;8712;30;8664;-1;-1;-1;-1;1;1;-1;-1;12;2;-1;-1;Ter;3;Jan;1996;6;37;29
247;593403;17;43442;64;43137;-1;-1;-1;-1;1;4;-1;-1;22;2;-1;-1;Ter;3;Jan;1996;6;44;0
248;593445;0;527;1;525.60;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;6;44;42
249;593720;14040;23111;64;23089;-1;-1;-1;-1;1;4;-1;-1;22;2;-1;-1;Ter;3;Jan;1996;6;49;17
250;595358;0;446;1;446.40;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;7;16;35
251;595805;0;4055;16;4055;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;7;24;2
252;597983;6;32250;16;32221;-1;-1;-1;-1;1;3;-1;-1;20;2;-1;-1;Ter;3;Jan;1996;8;0;20
253;599253;5;5;8;-1;-1;-1;-1;-1;1;10;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;8;21;30
254;599573;5;4;8;-1;-1;-1;-1;-1;1;10;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;8;26;50
255;599861;0;548;1;547.20;-1;-1;-1;-1;1;1;-1;-1;0;1;-1;-1;Ter;3;Jan;1996;8;31;38
256;601337;4;5;8;-1;-1;-1;-1;-1;1;10;-1;-1;5;2;-1;-1;Ter;3;Jan;1996;9;56;14
